Id,Y
20001,0.9978102
20002,0.95401675
20003,0.99672556
20004,0.9565362
20005,0.9413838
20006,0.9660247
20007,0.9981166
20008,0.8976972
20009,0.9615011
20010,0.93277436
20011,0.9606436
20012,0.99813133
20013,0.9299583
20014,0.9973471
20015,0.9861058
20016,0.9617085
20017,0.9630236
20018,0.9827733
20019,0.99873227
20020,0.9979826
20021,0.9309763
20022,0.99803036
20023,0.9662849
20024,0.99670523
20025,0.9563255
20026,0.9972646
20027,0.9994
20028,0.98256505
20029,0.97558177
20030,0.9979844
20031,0.9470133
20032,0.9965431
20033,0.9971673
20034,0.99865085
20035,0.99904317
20036,0.9523214
20037,0.89814687
20038,0.99735934
20039,0.9968984
20040,0.912861
20041,0.9140609
20042,0.95119107
20043,0.949668
20044,0.99655414
20045,0.6617836
20046,0.82013774
20047,0.980269
20048,0.9995871
20049,0.9844259
20050,0.99815744
20051,0.9967295
20052,0.9970649
20053,0.99960726
20054,0.8695447
20055,0.96272254
20056,0.96430814
20057,0.99902725
20058,0.99645185
20059,0.99860877
20060,0.943094
20061,0.99967146
20062,0.837937
20063,0.98264253
20064,0.97631776
20065,0.94999844
20066,0.99729925
20067,0.9332557
20068,0.99866736
20069,0.92868006
20070,0.9581786
20071,0.9971644
20072,0.9386748
20073,0.9969144
20074,0.9762883
20075,0.99653995
20076,0.96043134
20077,0.9977647
20078,0.9982449
20079,0.99805593
20080,0.99810886
20081,0.9874949
20082,0.99772793
20083,0.9990313
20084,0.96047556
20085,0.945682
20086,0.97735935
20087,0.9496806
20088,0.93136054
20089,0.9295768
20090,0.9931865
20091,0.9053203
20092,0.9704216
20093,0.98386973
20094,0.8415286
20095,0.9982911
20096,0.057191983
20097,0.9574009
20098,0.92320365
20099,0.90189004
20100,0.93819773
20101,0.9492697
20102,0.8823059
20103,0.08946155
20104,0.96468383
20105,0.8256973
20106,0.97765255
20107,0.99779797
20108,0.9703048
20109,0.9056547
20110,0.98054713
20111,0.9701339
20112,0.84464365
20113,0.9985312
20114,0.9732184
20115,0.42598373
20116,0.99760854
20117,0.97971433
20118,0.99459225
20119,0.9801626
20120,0.98587066
20121,0.96253985
20122,0.96093875
20123,0.97702354
20124,0.84497267
20125,0.97051334
20126,0.97091955
20127,0.8844665
20128,0.9972492
20129,0.9990339
20130,0.9691321
20131,0.98095256
20132,0.98657125
20133,0.9971091
20134,0.9261527
20135,0.93475986
20136,0.9048529
20137,0.9652802
20138,0.96677476
20139,0.9677008
20140,0.97374505
20141,0.973327
20142,0.996496
20143,0.9781724
20144,0.9868268
20145,0.94985896
20146,0.121132866
20147,0.94413507
20148,0.09111226
20149,0.9632666
20150,0.88006705
20151,0.93424135
20152,0.98834467
20153,0.9982679
20154,0.9949675
20155,0.9790518
20156,0.9557961
20157,0.99478626
20158,0.09115294
20159,0.9383135
20160,0.99903715
20161,0.9865718
20162,0.9973314
20163,0.9861076
20164,0.9700576
20165,0.94494814
20166,0.97953415
20167,0.9277097
20168,0.98731726
20169,0.9905749
20170,0.9972046
20171,0.9877208
20172,0.9470097
20173,0.98918265
20174,0.051479142
20175,0.9349849
20176,0.9755715
20177,0.99799335
20178,0.93684024
20179,0.9972609
20180,0.9904336
20181,0.9721992
20182,0.91243184
20183,0.9824965
20184,0.9973054
20185,0.99856335
20186,0.95840955
20187,0.9826956
20188,0.9788648
20189,0.9402734
20190,0.9716232
20191,0.96741253
20192,0.9745335
20193,0.9323214
20194,0.9798369
20195,0.9973289
20196,0.8627191
20197,0.9729998
20198,0.95965165
20199,0.9974934
20200,0.9565569
20201,0.9619853
20202,0.9643263
20203,0.9971656
20204,0.99799865
20205,0.9783669
20206,0.9175224
20207,0.95780003
20208,0.9810069
20209,0.97673416
20210,0.99853206
20211,0.4121604
20212,0.98033524
20213,0.97653073
20214,0.98932564
20215,0.9982855
20216,0.97542745
20217,0.9990397
20218,0.9535616
20219,0.9981541
20220,0.9864324
20221,0.94452417
20222,0.9993567
20223,0.9486635
20224,0.92843664
20225,0.9209852
20226,0.99501145
20227,0.93447614
20228,0.99824834
20229,0.9729522
20230,0.57514566
20231,0.984139
20232,0.97046834
20233,0.90685946
20234,0.9740893
20235,0.9850203
20236,0.9935069
20237,0.959573
20238,0.97430056
20239,0.9527214
20240,0.99659806
20241,0.97181374
20242,0.77558523
20243,0.9876342
20244,0.96358335
20245,0.9820827
20246,0.99828315
20247,0.9933315
20248,0.97709674
20249,0.95373267
20250,0.983086
20251,0.96792847
20252,0.9970974
20253,0.8936844
20254,0.95794016
20255,0.9722062
20256,0.9792181
20257,0.99809617
20258,0.98027796
20259,0.79827774
20260,0.98206276
20261,0.80588835
20262,0.9885132
20263,0.99801743
20264,0.9510417
20265,0.91336894
20266,0.9769241
20267,0.9888571
20268,0.9795109
20269,0.9819326
20270,0.9969572
20271,0.9047291
20272,0.9974222
20273,0.9298128
20274,0.888214
20275,0.95870405
20276,0.90687007
20277,0.98219544
20278,0.9406955
20279,0.95663553
20280,0.93809587
20281,0.9740898
20282,0.9979001
20283,0.93221194
20284,0.95237756
20285,0.9928692
20286,0.99022245
20287,0.94238013
20288,0.9748702
20289,0.9974542
20290,0.99650735
20291,0.9971891
20292,0.9563674
20293,0.95638037
20294,0.96346515
20295,0.99734807
20296,0.96875674
20297,0.9339591
20298,0.9858267
20299,0.88189435
20300,0.9986941
20301,0.97858196
20302,0.96425617
20303,0.9978388
20304,0.9731354
20305,0.9932975
20306,0.99259865
20307,0.9985013
20308,0.9984541
20309,0.99366766
20310,0.9989766
20311,0.920303
20312,0.9372118
20313,0.9651692
20314,0.97542125
20315,0.9903002
20316,0.93385816
20317,0.99916565
20318,0.9985537
20319,0.99789244
20320,0.94438094
20321,0.99733424
20322,0.9721709
20323,0.97132766
20324,0.9312771
20325,0.99933404
20326,0.937329
20327,0.8856721
20328,0.97428983
20329,0.97212416
20330,0.6307606
20331,0.9268883
20332,0.9124005
20333,0.9650887
20334,0.9992156
20335,0.9836918
20336,0.9442644
20337,0.9609112
20338,0.9233106
20339,0.9649724
20340,0.9982389
20341,0.91589516
20342,0.9794868
20343,0.9231028
20344,0.972147
20345,0.79244083
20346,0.9549843
20347,0.9970446
20348,0.9808684
20349,0.9574615
20350,0.9810657
20351,0.99452114
20352,0.9982009
20353,0.9723408
20354,0.98226523
20355,0.9972646
20356,0.93165827
20357,0.97963184
20358,0.99878865
20359,0.9055948
20360,0.99676394
20361,0.9848872
20362,0.99781466
20363,0.82058185
20364,0.9608914
20365,0.98630476
20366,0.9973724
20367,0.9885859
20368,0.97676545
20369,0.999413
20370,0.8225008
20371,0.998147
20372,0.97255087
20373,0.9108521
20374,0.98286104
20375,0.9409246
20376,0.9969457
20377,0.9987669
20378,0.98645484
20379,0.9948368
20380,0.8509488
20381,0.99836725
20382,0.97110176
20383,0.9841001
20384,0.95822215
20385,0.9459499
20386,0.98225236
20387,0.99397814
20388,0.9147822
20389,0.9986658
20390,0.999009
20391,0.9974496
20392,0.9589097
20393,0.9975635
20394,0.95942193
20395,0.99860555
20396,0.9976857
20397,0.9534391
20398,0.98660463
20399,0.9672915
20400,0.89621663
20401,0.97830385
20402,0.9822955
20403,0.99719644
20404,0.9632727
20405,0.96413314
20406,0.94807583
20407,0.9583638
20408,0.99656504
20409,0.99855286
20410,0.9975425
20411,0.96851784
20412,0.97301316
20413,0.81945145
20414,0.9988955
20415,0.94768864
20416,0.1347347
20417,0.963455
20418,0.809191
20419,0.11657259
20420,0.99658716
20421,0.9989863
20422,0.9418116
20423,0.8652489
20424,0.9986204
20425,0.95031726
20426,0.99838305
20427,0.8929227
20428,0.98808986
20429,0.95844185
20430,0.9994579
20431,0.99558854
20432,0.9631363
20433,0.955673
20434,0.34199718
20435,0.9066217
20436,0.9987295
20437,0.96536493
20438,0.99789375
20439,0.97019523
20440,0.9730248
20441,0.9149436
20442,0.9716152
20443,0.95529765
20444,0.9979875
20445,0.99873227
20446,0.9974049
20447,0.9454717
20448,0.9178359
20449,0.96645033
20450,0.9608562
20451,0.97602636
20452,0.9979729
20453,0.8004558
20454,0.9388019
20455,0.9812526
20456,0.9762645
20457,0.9763715
20458,0.99699306
20459,0.961464
20460,0.826371
20461,0.9988226
20462,0.97829187
20463,0.9725682
20464,0.937774
20465,0.92262876
20466,0.98713404
20467,0.9975737
20468,0.9276528
20469,0.9653138
20470,0.8685157
20471,0.99524105
20472,0.9828865
20473,0.993276
20474,0.08447877
20475,0.97145057
20476,0.9889759
20477,0.99792874
20478,0.97349226
20479,0.9969157
20480,0.9274028
20481,0.96514475
20482,0.9802214
20483,0.9966697
20484,0.9924614
20485,0.971073
20486,0.9984237
20487,0.9226317
20488,0.9795196
20489,0.94091105
20490,0.9195886
20491,0.9835218
